Id,DGCI
79783930,0
40239934,0
50410534,0
47165338,0
16455157,0
90938592,0
1317745,0
59791582,0
14525631,0
88602343,0
23536231,0
18553789,0
81273029,0
41102841,0
67468796,0
48298815,0
93229470,0
25785323,0
30895645,0
39503717,0
91124259,0
76528041,0
73863630,0
53397170,0
64390024,0
5495309,0
96127913,0
29592550,0
53433017,0
34588615,0
67596838,0
6918031,0
94337506,0
98132335,0
92018621,0
77449328,0
97544842,0
17935295,0
40239895,0
2589133,0
47440748,0
39920668,0
53975090,0
2138945,0
74947296,0
75300825,0
75751336,0
70199671,0
41614581,0
37730408,0
35044605,0
65472277,0
33250531,0
64712155,0
64534117,0
89046295,0
27028448,0
89487570,0
79358276,0
67736428,0
40661064,0
41840806,0
35579735,0
17071106,0
4936970,0
79256523,0
74230060,0
91859256,0
61260384,0
46928345,0
27760551,0
23220427,0
73886014,0
61567150,0
27258947,0
76392899,0
29481024,0
90267842,0
10123820,0
10943798,0
73808965,0
36782486,0
98708999,0
91416196,0
44456496,0
25394327,0
67075886,0
57642519,0
93881318,0
84564536,0
47503902,0
50338307,0
58222535,0
60078727,0
44664361,0
90804018,0
25701199,0
85875653,0
73400016,0
93818116,0
46593591,0
69021208,0
35087326,0
17996377,0
89466042,0
26739875,0
28021239,0
14390181,0
88736045,0
63159389,0
17785769,0
16469744,0
99418654,0
966832,0
35129310,0
51487191,0
48800491,0
12998050,0
91630851,0
79184573,0
4014458,0
59398821,0
26597586,0
27844307,0
59341437,0
63560081,0
38577853,0
85151153,0
70753655,0
21541518,0
31432716,0
89942050,0
43029746,0
11514799,0
42325067,0
92096340,0
86397886,0
88585397,0
72683878,0
20615787,0
96790664,0
99344361,0
95916112,0
31507939,0
52118220,0
54081058,0
2167798,0
72450288,0
40102428,0
22464184,0
38441679,0
51371363,0
4186497,0
55578023,0
40494166,0
95146502,0
80707176,0
6596720,0
25386603,0
91074608,0
3505757,0
27194614,0
57956721,0
79084625,0
33332989,0
225310,0
2231538,0
39225410,0
75210492,0
89996330,0
77487581,0
86527077,0
82301405,0
66649504,0
11130705,0
76750675,0
2393256,0
82221323,0
40608226,0
61762434,0
21195862,0
63895736,0
88042116,0
68841102,0
1802734,0
46024278,0
69379767,0
8748319,0
1858751,0
25947408,0
85468969,0
73483607,0
87431185,0
65781529,0
93017970,0
36500302,0
4781802,0
5316245,0
6030330,0
97029804,0
32743316,0
68028814,0
16670054,0
99221589,0
22154846,0
40074438,0
59859186,0
87282825,0
75056595,0
93367510,0
56969944,0
384141,0
1172213,0
50077848,0
93675044,0
96094156,0
35313728,0
35052518,0
68997656,0
33138868,0
18564138,0
5932814,0
10805464,0
86970836,0
74388516,0
24194518,0
54335402,0
73332405,0
71259726,0
44485674,0
41945915,0
39479370,0
72113480,0
42659922,0
47128351,0
94994914,0
99460326,0
7803735,0
63029707,0
85210034,0
35719180,0
22815980,0
16860102,0
42190245,0
53182093,0
3897948,0
87619953,0
19282492,0
95434319,0
50758637,0
18900213,0
60184336,0
26238228,0
20766190,0
86555417,0
48315115,0
12784943,0
21040435,0
92759733,0
33156799,0
5924466,0
60957102,0
62463674,0
14410942,0
13653322,0
28785915,0
80946694,0
16319768,0
36050327,0
71432845,0
35863710,0
84832279,0
5392138,0
56573408,0
47599599,0
53935687,0
87554266,0
52285364,0
51421007,0
32921371,0
25988116,0
897786,0
95484082,0
36412135,0
34681243,0
38434783,0
80420768,0
79074695,0
17602492,0
5774364,0
37149664,0
20154303,0
30589634,0
19116512,0
64632695,0
22392367,0
85735918,0
11071472,0
13710755,0
2926189,0
17802639,0
78476655,0
74194621,0
1807782,0
33074601,0
24925465,0
7376514,0
36442301,0
59104174,0
99913107,0
56415708,0
20770771,0
96476938,0
68223799,0
65773298,0
45169048,0
87931008,0
8582961,0
78764582,0
99725946,0
52937179,0
16696670,0
29556454,0
56706168,0
38122143,0
88795781,0
38980823,0
12105675,0
1525333,0
33494053,0
16442497,0
43132483,0
32127452,0
11359271,0
27356258,0
18416028,0
73302711,0
55677558,0
30010020,0
37880115,0
65169604,0
96467872,0
11940173,0
78577233,0
38447083,0
91054835,0
94368280,0
97744978,0
30632914,0
59286298,0
92025977,0
6928410,0
79211111,0
55498852,0
85903792,0
73186731,0
83863471,0
44507851,0
15027902,0
57624180,0
64587144,0
68222803,0
94886798,0
30433521,0
45442273,0
93398930,0
78283800,0
56461269,0
46581505,0
4863427,0
34564339,0
14165781,0
223518,0
47580918,0
76080524,0
7685342,0
52286263,0
64740744,0
5262343,0
33501985,0
1582318,0
97053373,0
28100251,0
81128043,0
91359957,0
40083676,0
17487572,0
92727080,0
48385010,0
31208812,0
57372550,0
50150657,0
27372252,0
78054685,0
54660746,0
44218111,0
28493917,0
13891949,0
55404994,0
79801003,0
68047333,0
13137483,0
23814389,0
72596063,0
94310104,0
41908484,0
28311243,0
15290661,0
91366805,0
50404287,0
31908755,0
19705538,0
70729661,0
41168050,0
6470339,0
22214553,0
87203234,0
43882396,0
9347238,0
32971598,0
97257389,0
27841462,0
41132488,0
26876680,0
24232808,0
25715192,0
18964332,0
72351399,0
89815063,0
41444831,0
40053149,0
13692241,0
80004298,0
33129000,0
90823554,0
45437592,0
93286159,0
68682594,0
34108120,0
89647571,0
73345655,0
39299859,0
35747679,0
88194846,0
68221769,0
10473619,0
26643443,0
26488575,0
1200566,0
60330647,0
71997559,0
29218250,0
21689941,0
45424539,0
89094486,0
72775570,0
825287,0
61940356,0
90831699,0
38785866,0
2765722,0
55614474,0
20176231,0
5410349,0
6355482,0
14360792,0
85643769,0
94904681,0
49056593,0
49062438,0
30231613,0
39763715,0
6872791,0
92352315,0
79338569,0
37564138,0
2145866,0
98612279,0
80250405,0
77089120,0
29782697,0
86683413,0
45690511,0
82536373,0
84468747,0
80303131,0
11849167,0
39293564,0
81709438,0
66314723,0
66612295,0
78600617,0
50569333,0
890205,0
72273025,0
53948331,0
20690642,0
88794532,0
63924227,0
83306614,0
52848860,0
99303349,0
21212656,0
37807073,0
55406826,0
722409,0
75855645,0
90625918,0
45254131,0
41969652,0
57602072,0
4960703,0
68239016,0
1429593,0
3771586,0
16729575,0
79745295,0
20270223,0
1698550,0
16034595,0
25987554,0
74134655,0
5508544,0
64510039,0
73548399,0
7058044,0
43963238,0
94012606,0
